brand,generic,year,spend_cents,claims,beneficiaries,weighted_unit_spend,unit_outlier,selected_incretin
Bydureon Bcise,Exenatide Microspheres,2020,26616095099,245742,49690,214.28813616,0,1
Bydureon Bcise,Exenatide Microspheres,2021,37924346702,316214,66313,227.38926589,0,1
Bydureon Bcise,Exenatide Microspheres,2022,35507875797,277165,54563,236.80895415,0,1
Bydureon Bcise,Exenatide Microspheres,2023,28405675899,212804,45857,244.14682255,0,1
Bydureon Bcise,Exenatide Microspheres,2024,21535467845,178931,38059,232.77593179,0,1
Byetta,Exenatide,2020,4767663152,39793,8494,379.70840015,0,1
Byetta,Exenatide,2021,3798866249,28346,6282,409.55066128,0,1
Byetta,Exenatide,2022,2750096116,19590,4685,422.16832115,0,1
Byetta,Exenatide,2023,2064562617,14042,3396,442.1503929,0,1
Byetta,Exenatide,2024,1587747966,11712,3043,459.81904087,0,1
Liraglutide,Liraglutide,2024,4809582439,62254,24405,75.154881194,0,1
Mounjaro,Tirzepatide,2022,14403515232,121095,54202,514.4236735,0,1
Mounjaro,Tirzepatide,2023,236138415710,1821486,370203,539.81748741,0,1
Mounjaro,Tirzepatide,2024,633694264070,5105397,894581,511.63410588,0,1
Ozempic,Semaglutide,2020,145581226710,1204138,269663,433.66625915,0,1
Ozempic,Semaglutide,2021,262169434830,2016177,458643,452.72044757,0,1
Ozempic,Semaglutide,2022,462816064340,3410839,780253,468.24204575,0,1
Ozempic,Semaglutide,2023,919404843510,6927972,1464468,355.90270351,0,1
Ozempic,Semaglutide,2024,1297029634700,10417182,1952637,306.47791837,0,1
Rybelsus,Semaglutide,2020,7344440861,68091,27825,27.042868521,0,1
Rybelsus,Semaglutide,2021,45456382329,367858,108224,28.728823713,0,1
Rybelsus,Semaglutide,2022,97489447013,686346,184615,30.853757195,0,1
Rybelsus,Semaglutide,2023,166590694330,1075026,285693,32.413538758,0,1
Rybelsus,Semaglutide,2024,189008202600,1251733,309993,30.593366014,0,1
Trulicity,Dulaglutide,2020,328487306190,2823185,497327,400.68233332,0,1
Trulicity,Dulaglutide,2021,470217472360,3704201,663858,432.42763561,0,1
Trulicity,Dulaglutide,2022,622529166760,4610823,840163,459.0083713,0,1
Trulicity,Dulaglutide,2023,736385622430,5316020,938731,483.20525328,0,1
Trulicity,Dulaglutide,2024,545413472510,4305141,788716,467.74913984,0,1
Victoza 2-Pak,Liraglutide,2020,34947615875,400626,101652,109.14978347,0,1
Victoza 2-Pak,Liraglutide,2021,33489795737,349866,91602,115.93722782,0,1
Victoza 2-Pak,Liraglutide,2022,31920550929,308357,82777,122.14309731,0,1
Victoza 2-Pak,Liraglutide,2023,31721356547,293462,83777,126.64461904,0,1
Victoza 2-Pak,Liraglutide,2024,7783272114,108521,41126,91.446444828,0,1
Victoza 3-Pak,Liraglutide,2020,154581541480,1040550,224779,107.76552488,0,1
Victoza 3-Pak,Liraglutide,2021,142229258310,884941,200512,114.76558522,0,1
Victoza 3-Pak,Liraglutide,2022,123859487240,724049,167181,121.5396526,0,1
Victoza 3-Pak,Liraglutide,2023,100463514520,574218,142213,126.95461794,0,1
Victoza 3-Pak,Liraglutide,2024,20306305037,181068,62754,86.206557743,0,1
Wegovy,Semaglutide,2023,19977359,142,47,496.25109967,1,1
Wegovy,Semaglutide,2024,30128329140,211575,52961,602.08996153,0,1
Zepbound,Tirzepatide,2024,38734345,353,245,509.13009512,0,1
